Team,Winrate,Elo,International Elo,LAN Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round,Rating,KAST,Clutch Success,Image Path,Region,id
Cloud9,46.666666666666664,1500.1805680961586,1494.4335088823339,38.31775700934579,0.9891646323963155,124.29338356632474,189.58698723934017,3.043836142071436,0.6086532354355884,0.9571626536861831,71.48262212732801,29.582539682539682,/static/logos/cloud9-logo.png,AMER,11
Crazy Raccoon,16.666666666666664,1425.20618597298,1425.20618597298,20.0,0.7684800384800385,114.63864838864839,171.40957190957192,2.3767436267436266,0.11503066378066379,0.7831535594035595,60.69276094276094,13.505291005291005,/static/logos/crazy-raccoon-logo.png,Pacific,12
DRX,53.333333333333336,1613.5067660407326,1603.862372767237,59.4059405940594,1.039351467051467,123.8449494949495,188.47492063492064,3.9235353535353537,0.09553602693602695,0.9893400192400194,70.9493746993747,34.634778911564624,/static/logos/drx-logo.png,Pacific,13
DetonatioN FocusMe,46.666666666666664,1508.1263342561388,1500.0,50.0,1.001167110588141,128.36479374655843,198.30538724891667,3.2862704397998517,0.5896946012593072,0.9679733845675021,69.99652661064425,35.42040816326531,/static/logos/detonation-focusme-logo.png,Pacific,14
Dragon Ranger Gaming,40.0,1438.577693354369,1418.8913207212174,0.0,1.0603222174071556,130.76846065367803,200.3137025012025,3.364342875321136,0.9901630779848172,1.0285770800455583,72.54435308281462,15.0,/static/logos/dragon-ranger-gaming-logo.png,CN,15
EDward Gaming,40.0,1511.3219622977226,1461.4376871467346,21.153846153846153,1.081435941195765,130.75995786348727,198.39947224888402,3.533385655738597,1.6175207415678003,1.0103957798193093,72.86564082944606,20.75,/static/logos/edward-gaming-logo.png,CN,16
ENVY,40.0,1479.2254560693382,1553.8354644085885,80.0,0.9582234453332863,124.2210692140104,189.69055806938158,4.1270755823697005,3.0671913524384116,0.9330012736718618,69.63975867269984,34.38390022675737,/static/logos/envy-logo.png,AMER,17
Eintracht Frankfurt,60.0,1533.4667818579878,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/eintracht-frankfurt-logo.png,EMEA,18
Enterprise Esports,66.66666666666666,1549.280934723406,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/enterprise-esports-logo.png,EMEA,19
Eternal Fire,28.57142857142857,1450.411896084592,1500.0,50.0,1.1328965284864427,136.17373367373366,205.01700614200615,3.153300403300403,1.5079400229400228,1.0581515244015243,73.05557405557406,33.25873015873016,/static/logos/eternal-fire-logo.png,EMEA,20
Evil Geniuses,40.0,1473.9729165138383,1565.926818722894,40.59405940594059,0.9355446800523075,124.61172040922041,188.10093887593888,3.0138085988085987,0.5597790986790987,0.9293441983941985,68.640168997669,29.81931216931217,/static/logos/evil-geniuses-logo.png,AMER,21
F4Q,0.0,1424.9373135465657,1424.9373135465657,0.0,0.7746666666666666,122.8,178.33333333333334,11.533333333333333,0.10066666666666667,0.7766666666666667,63.2,6.0,/static/logos/f4q-logo.png,Pacific,22
FNATIC,40.0,1536.6475639187038,1673.3933487620823,59.4059405940594,1.1123181316973727,128.4131368196074,195.75202765371884,3.841681132048779,0.7037860512581101,1.0218972021986727,70.46118430589019,33.24584106369821,/static/logos/fnatic-logo.png,EMEA,23
FULL SENSE,33.33333333333333,1402.3959184118535,1417.0434954198838,0.0,1.0032291414529808,127.20249951301422,192.45257152705682,2.8359664545693954,1.3271951443436738,0.9716715407958054,73.03025952177535,37.29672912557528,/static/logos/full-sense-logo.png,Pacific,24
FURIA,26.666666666666668,1416.0879072893035,1377.030625737944,0.0,0.991361639997613,125.63614003357037,189.77636455978947,3.2163667040447224,0.688686513233069,0.9452823740730086,69.52637364412907,32.452919501133785,/static/logos/furia-logo.png,AMER,25
FUT Esports,60.0,1583.09374996356,1469.8545194002734,40.59405940594059,1.0150513702030606,128.7497657897658,193.86448588448587,4.41995041995042,4.206211566211566,0.9744519110519111,70.1,15.0,/static/logos/fut-esports-logo.png,EMEA,26
Fire Flux Esports,71.42857142857143,1578.812942799577,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/fire-flux-esports-logo.png,EMEA,27
