Team,Map,Wins,Played,Winrate
PCIFIC Esports,Ascent,1,5,20.0
Papara SuperMassive,Ascent,1,2,50.0
Paper Rex,Ascent,16,25,64.0
Peeky Blinders,Ascent,0,2,0.0
Penguins and Frogs,Ascent,0,1,0.0
QT DIG∞,Ascent,0,1,0.0
Rex Regum Qeon,Ascent,5,17,29.41
Sentinels,Ascent,3,10,30.0
Sharks Esports,Ascent,0,1,0.0
Sharper Esports,Ascent,3,3,100.0
T1,Ascent,5,11,45.45
TALON,Ascent,1,3,33.33
TYLOO,Ascent,2,6,33.33
Team Heretics,Ascent,12,19,63.16
Team International,Ascent,0,1,0.0
Team Liquid,Ascent,17,25,68.0
Team Secret,Ascent,2,7,28.57
Team Thailand,Ascent,1,1,100.0
Team Vikings,Ascent,1,2,50.0
Team Vitality,Ascent,5,10,50.0
The Mad Men,Ascent,1,2,50.0
Titan Esports Club,Ascent,4,7,57.14
Trace Esports,Ascent,5,12,41.67
VARREL,Ascent,1,1,100.0
VICTORY,Ascent,1,1,100.0
Version1,Ascent,2,4,50.0
Vision Strikers,Ascent,0,1,0.0
Wolves Esports,Ascent,5,9,55.56
X10 Esports,Ascent,1,3,33.33
XERXIA Esports,Ascent,2,4,50.0
XSET,Ascent,1,3,33.33
Xi Lai Gaming,Ascent,4,7,57.14
ZETA DIVISION,Ascent,1,7,14.29
100 Thieves,Bind,9,15,60.0
2Game Esports,Bind,0,1,0.0
Acend,Bind,5,5,100.0
All Gamers,Bind,5,11,45.45
Apeks,Bind,0,1,0.0
BBL Esports,Bind,1,4,25.0
BOOM Esports,Bind,2,5,40.0
Bilibili Gaming,Bind,6,13,46.15
Cat Gang,Bind,1,2,50.0
Cloud9,Bind,3,5,60.0
Crazy Raccoon,Bind,0,1,0.0
DRX,Bind,11,17,64.71
DetonatioN FocusMe,Bind,1,3,33.33
Dominus Esports,Bind,0,2,0.0
Dragon Ranger Gaming,Bind,3,6,50.0
EDward Gaming,Bind,12,21,57.14
ENVY,Bind,3,6,50.0
Eternal Fire,Bind,2,2,100.0
Evil Geniuses,Bind,3,9,33.33
F4Q,Bind,1,2,50.0
FNATIC,Bind,17,27,62.96
FULL SENSE,Bind,2,3,66.67
FURIA,Bind,0,3,0.0
FUT Esports,Bind,6,12,50.0
FunPlus Phoenix,Bind,8,16,50.0
G2 Esports,Bind,10,16,62.5
GIANTX,Bind,3,12,25.0
Gambit Esports,Bind,5,6,83.33
Gen.G,Bind,1,6,16.67
Gentle Mates,Bind,5,8,62.5
Giants Gaming,Bind,0,1,0.0
Global Esports,Bind,1,5,20.0
Guild Esports,Bind,0,2,0.0
JDG Esports,Bind,2,6,33.33
KOI,Bind,0,2,0.0
KRÜ Esports,Bind,8,16,50.0
Kantic 2.0,Bind,2,2,100.0
Karmine Corp,Bind,4,7,57.14
Keyd Stars,Bind,0,2,0.0
Kiwoom DRX,Bind,1,3,33.33
LEVIATÁN,Bind,8,13,61.54
LOUD,Bind,4,13,30.77
Lavie,Bind,0,1,0.0
MIBR,Bind,4,9,44.44
Made In Vietnam,Bind,1,1,100.0
NORTHEPTION,Bind,1,2,50.0
NRG,Bind,4,11,36.36
NUTURN,Bind,1,3,33.33
Natus Vincere,Bind,5,13,38.46
Nongshim RedForce,Bind,6,8,75.0
Nova Esports,Bind,2,5,40.0
OpTic Gaming,Bind,11,12,91.67
PCIFIC Esports,Bind,1,1,100.0
Papara SuperMassive,Bind,0,2,0.0
Paper Rex,Bind,12,22,54.55
Peeky Blinders,Bind,0,1,0.0
Penguins and Frogs,Bind,1,1,100.0
Rex Regum Qeon,Bind,2,8,25.0
Sentinels,Bind,6,10,60.0
Sharks Esports,Bind,0,2,0.0
T1,Bind,12,18,66.67
TALON,Bind,5,10,50.0
TYLOO,Bind,5,9,55.56
Team Heretics,Bind,7,12,58.33
Team Liquid,Bind,16,27,59.26
Team Secret,Bind,2,4,50.0
Team Vikings,Bind,1,1,100.0
Team Vitality,Bind,4,13,30.77
The Mad Men,Bind,1,2,50.0
Titan Esports Club,Bind,2,4,50.0
Trace Esports,Bind,6,13,46.15
ULF Esports,Bind,0,1,0.0
VARREL,Bind,1,3,33.33
Vision Strikers,Bind,0,1,0.0
Wolves Esports,Bind,2,7,28.57
XERXIA Esports,Bind,0,2,0.0
XSET,Bind,0,2,0.0
Xi Lai Gaming,Bind,10,13,76.92
ZETA DIVISION,Bind,2,10,20.0
100 Thieves,Breeze,9,15,60.0
Acend,Breeze,2,4,50.0
All Gamers,Breeze,1,2,50.0
BBL Esports,Breeze,5,11,45.45
BESTIA,Breeze,2,3,66.67
BOOM Esports,Breeze,1,1,100.0
Bilibili Gaming,Breeze,3,6,50.0
Cat Gang,Breeze,1,3,33.33
Cloud9,Breeze,8,13,61.54
DRX,Breeze,5,8,62.5
DetonatioN FocusMe,Breeze,2,5,40.0
Dominus Esports,Breeze,0,1,0.0
Dragon Ranger Gaming,Breeze,5,10,50.0
EDward Gaming,Breeze,9,14,64.29
ENVY,Breeze,3,6,50.0
Eternal Fire,Breeze,1,2,50.0
Evil Geniuses,Breeze,2,6,33.33
F4Q,Breeze,0,2,0.0
FNATIC,Breeze,4,8,50.0
FULL SENSE,Breeze,1,6,16.67
FURIA,Breeze,7,15,46.67
FUT Esports,Breeze,1,2,50.0
Fluxo W7M,Breeze,0,1,0.0
FunPlus Phoenix,Breeze,4,8,50.0
G2 Esports,Breeze,10,18,55.56
GIANTX,Breeze,0,5,0.0
Gambit Esports,Breeze,5,5,100.0
Gen.G,Breeze,3,6,50.0
Gentle Mates,Breeze,0,1,0.0
Global Esports,Breeze,7,11,63.64
Guild Esports,Breeze,1,1,100.0
JDG Esports,Breeze,3,8,37.5
Joblife,Breeze,2,2,100.0
KRÜ Esports,Breeze,2,12,16.67
Kantic 2.0,Breeze,1,1,100.0
Karmine Corp,Breeze,0,3,0.0
KeepBest Gaming,Breeze,0,1,0.0
Keyd Stars,Breeze,1,2,50.0
Kiwoom DRX,Breeze,2,6,33.33
LEVIATÁN,Breeze,0,6,0.0
LOUD,Breeze,9,12,75.0
Lavie,Breeze,1,2,50.0
M80,Breeze,0,1,0.0
MIBR,Breeze,6,10,60.0
Made In Vietnam,Breeze,0,1,0.0
NRG,Breeze,13,18,72.22
Natus Vincere,Breeze,2,5,40.0
Ninjas In Pyjamas,Breeze,0,1,0.0
Nongshim RedForce,Breeze,9,11,81.82
Nova Esports,Breeze,4,6,66.67
ONSIDE GAMING,Breeze,1,1,100.0
OpTic Gaming,Breeze,3,7,42.86
PCIFIC Esports,Breeze,0,2,0.0
Papara SuperMassive,Breeze,1,1,100.0
Paper Rex,Breeze,10,18,55.56
Penguins and Frogs,Breeze,1,1,100.0
QT DIG∞,Breeze,0,1,0.0
Rex Regum Qeon,Breeze,2,11,18.18
Sentinels,Breeze,6,12,50.0
Sharper Esports,Breeze,2,3,66.67
T1,Breeze,7,11,63.64
TYLOO,Breeze,6,9,66.67
Team Deadshot,Breeze,2,2,100.0
Team Heretics,Breeze,4,6,66.67
Team Liquid,Breeze,10,13,76.92
Team Secret,Breeze,1,7,14.29
Team Vitality,Breeze,7,11,63.64
Titan Esports Club,Breeze,3,9,33.33
Trace Esports,Breeze,3,8,37.5
ULF Esports,Breeze,0,2,0.0
VARREL,Breeze,0,2,0.0
VICTORY,Breeze,0,1,0.0
Vision Strikers,Breeze,1,2,50.0
Wolves Esports,Breeze,0,3,0.0
X10 Esports,Breeze,0,2,0.0
XSET,Breeze,1,1,100.0
Xi Lai Gaming,Breeze,5,12,41.67
ZETA DIVISION,Breeze,2,5,40.0
100 Thieves,Corrode,4,5,80.0
2Game Esports,Corrode,0,1,0.0
All Gamers,Corrode,3,5,60.0
Apeks,Corrode,1,2,50.0
BBL Esports,Corrode,1,3,33.33
BOOM Esports,Corrode,0,3,0.0
Bilibili Gaming,Corrode,1,2,50.0
Cloud9,Corrode,1,4,25.0
DRX,Corrode,2,6,33.33
DetonatioN FocusMe,Corrode,1,3,33.33
Dragon Ranger Gaming,Corrode,4,7,57.14
EDward Gaming,Corrode,7,9,77.78
ENVY,Corrode,1,3,33.33
Evil Geniuses,Corrode,3,6,50.0
FNATIC,Corrode,5,8,62.5
FULL SENSE,Corrode,1,2,50.0
FURIA,Corrode,1,3,33.33
FUT Esports,Corrode,1,1,100.0
FunPlus Phoenix,Corrode,1,1,100.0
G2 Esports,Corrode,5,13,38.46
GIANTX,Corrode,2,4,50.0
Gen.G,Corrode,2,3,66.67
Gentle Mates,Corrode,1,6,16.67
Global Esports,Corrode,2,5,40.0
Glory Once Again,Corrode,0,1,0.0
JDG Esports,Corrode,1,6,16.67
KOI,Corrode,1,1,100.0
KRÜ Esports,Corrode,0,2,0.0
Karmine Corp,Corrode,0,3,0.0
Kiwoom DRX,Corrode,2,3,66.67
LEVIATÁN,Corrode,1,2,50.0
LOUD,Corrode,0,1,0.0
MIBR,Corrode,6,8,75.0
NRG,Corrode,9,11,81.82
Natus Vincere,Corrode,2,4,50.0
Nongshim RedForce,Corrode,6,8,75.0
Nova Esports,Corrode,1,3,33.33
Paper Rex,Corrode,4,9,44.44
Rex Regum Qeon,Corrode,6,9,66.67
Sentinels,Corrode,4,7,57.14
T1,Corrode,2,5,40.0
TALON,Corrode,3,4,75.0
TYLOO,Corrode,4,7,57.14
Team Alpha,Corrode,1,1,100.0
Team EMEA,Corrode,1,1,100.0
Team France,Corrode,0,1,0.0
Team Heretics,Corrode,3,4,75.0
Team Liquid,Corrode,2,8,25.0
Team Omega,Corrode,0,1,0.0
Team Secret,Corrode,0,2,0.0
Team Vitality,Corrode,4,4,100.0
Team World,Corrode,1,1,100.0
Titan Esports Club,Corrode,1,3,33.33
Trace Esports,Corrode,1,2,50.0
ULF Esports,Corrode,0,1,0.0
VARREL,Corrode,1,1,100.0
Wolves Esports,Corrode,0,3,0.0
Xi Lai Gaming,Corrode,0,1,0.0
ZETA DIVISION,Corrode,1,3,33.33
100 Thieves,Fracture,4,7,57.14
Acend,Fracture,0,1,0.0
All Gamers,Fracture,2,5,40.0
BBL Esports,Fracture,2,6,33.33
BOOM Esports,Fracture,2,6,33.33
Bilibili Gaming,Fracture,5,9,55.56
Cloud9,Fracture,2,4,50.0
DRX,Fracture,11,14,78.57
DetonatioN FocusMe,Fracture,1,4,25.0
Dragon Ranger Gaming,Fracture,2,4,50.0
EDward Gaming,Fracture,11,15,73.33
ENVY,Fracture,0,1,0.0
Eternal Fire,Fracture,1,3,33.33
Evil Geniuses,Fracture,3,5,60.0
FNATIC,Fracture,12,18,66.67
FULL SENSE,Fracture,2,4,50.0
FURIA,Fracture,1,3,33.33
FUT Esports,Fracture,4,5,80.0
FunPlus Phoenix,Fracture,8,11,72.73
G2 Esports,Fracture,3,5,60.0
GIANTX,Fracture,2,3,66.67
Gambit Esports,Fracture,2,2,100.0
Gen.G,Fracture,1,4,25.0
