Tournament,Stage,Match Type,Map,Team A,Team B,Team A Score,Team B Score
VCT 2026: Americas Stage 2,Group Stage,Week 1,Haven,Sentinels,Cloud9,11,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Lotus,Sentinels,Cloud9,16,14
VCT 2026: Americas Stage 2,Group Stage,Week 1,Ascent,ENVY,Evil Geniuses,4,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Breeze,ENVY,Evil Geniuses,9,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Lotus,KRÜ Esports,LOUD,13,9
VCT 2026: Americas Stage 2,Group Stage,Week 1,Breeze,KRÜ Esports,LOUD,15,17
VCT 2026: Americas Stage 2,Group Stage,Week 1,Sunset,KRÜ Esports,LOUD,3,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Breeze,G2 Esports,100 Thieves,4,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Sunset,G2 Esports,100 Thieves,16,14
VCT 2026: Americas Stage 2,Group Stage,Week 1,Haven,G2 Esports,100 Thieves,10,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Sunset,NRG,MIBR,9,13
VCT 2026: Americas Stage 2,Group Stage,Week 1,Breeze,NRG,MIBR,13,11
Esports World Cup 2026,Group Stage,Opening (A),Breeze,Rex Regum Qeon,100 Thieves,5,13
Esports World Cup 2026,Group Stage,Opening (A),Ascent,Rex Regum Qeon,100 Thieves,10,13
Esports World Cup 2026,Group Stage,Opening (A),Lotus,BBL Esports,EDward Gaming,16,18
Esports World Cup 2026,Group Stage,Opening (A),Ascent,BBL Esports,EDward Gaming,13,7
Esports World Cup 2026,Group Stage,Opening (A),Sunset,BBL Esports,EDward Gaming,13,3
Esports World Cup 2026,Group Stage,Winner's (A),Lotus,100 Thieves,BBL Esports,14,12
Esports World Cup 2026,Group Stage,Winner's (A),Split,100 Thieves,BBL Esports,3,13
Esports World Cup 2026,Group Stage,Winner's (A),Haven,100 Thieves,BBL Esports,13,9
Esports World Cup 2026,Group Stage,Elimination (A),Ascent,Rex Regum Qeon,EDward Gaming,5,13
Esports World Cup 2026,Group Stage,Elimination (A),Breeze,Rex Regum Qeon,EDward Gaming,11,13
Esports World Cup 2026,Group Stage,Decider (A),Lotus,BBL Esports,EDward Gaming,13,4
Esports World Cup 2026,Group Stage,Decider (A),Breeze,BBL Esports,EDward Gaming,13,5
Esports World Cup 2026,Group Stage,Opening (B),Haven,Team Vitality,Karmine Corp,13,8
Esports World Cup 2026,Group Stage,Opening (B),Lotus,Team Vitality,Karmine Corp,13,9
Esports World Cup 2026,Group Stage,Opening (B),Fracture,NRG,Paper Rex,9,13
Esports World Cup 2026,Group Stage,Opening (B),Lotus,NRG,Paper Rex,13,5
Esports World Cup 2026,Group Stage,Opening (B),Breeze,NRG,Paper Rex,13,10
Esports World Cup 2026,Group Stage,Winner's (B),Ascent,Team Vitality,NRG,16,14
Esports World Cup 2026,Group Stage,Winner's (B),Lotus,Team Vitality,NRG,8,13
Esports World Cup 2026,Group Stage,Winner's (B),Breeze,Team Vitality,NRG,13,10
Esports World Cup 2026,Group Stage,Elimination (B),Sunset,Karmine Corp,Paper Rex,11,13
Esports World Cup 2026,Group Stage,Elimination (B),Fracture,Karmine Corp,Paper Rex,13,9
Esports World Cup 2026,Group Stage,Elimination (B),Lotus,Karmine Corp,Paper Rex,13,7
Esports World Cup 2026,Group Stage,Decider (B),Breeze,NRG,Karmine Corp,13,6
Esports World Cup 2026,Group Stage,Decider (B),Fracture,NRG,Karmine Corp,7,13
Esports World Cup 2026,Group Stage,Decider (B),Haven,NRG,Karmine Corp,13,7
Esports World Cup 2026,Group Stage,Opening (C),Breeze,Gentle Mates,Xi Lai Gaming,7,13
Esports World Cup 2026,Group Stage,Opening (C),Haven,Gentle Mates,Xi Lai Gaming,13,8
Esports World Cup 2026,Group Stage,Opening (C),Lotus,Gentle Mates,Xi Lai Gaming,13,1
Esports World Cup 2026,Group Stage,Opening (C),Breeze,Nongshim RedForce,G2 Esports,13,5
Esports World Cup 2026,Group Stage,Opening (C),Sunset,Nongshim RedForce,G2 Esports,7,13
Esports World Cup 2026,Group Stage,Opening (C),Split,Nongshim RedForce,G2 Esports,13,6
Esports World Cup 2026,Group Stage,Winner's (C),Lotus,Gentle Mates,Nongshim RedForce,15,17
Esports World Cup 2026,Group Stage,Winner's (C),Haven,Gentle Mates,Nongshim RedForce,13,10
Esports World Cup 2026,Group Stage,Winner's (C),Ascent,Gentle Mates,Nongshim RedForce,13,3
Esports World Cup 2026,Group Stage,Elimination (C),Lotus,Xi Lai Gaming,G2 Esports,7,13
Esports World Cup 2026,Group Stage,Elimination (C),Breeze,Xi Lai Gaming,G2 Esports,9,13
Esports World Cup 2026,Group Stage,Opening (D),Lotus,MIBR,Global Esports,13,2
Esports World Cup 2026,Group Stage,Opening (D),Haven,MIBR,Global Esports,13,3
Esports World Cup 2026,Group Stage,Opening (D),Haven,All Gamers,Team Heretics,11,13
Esports World Cup 2026,Group Stage,Opening (D),Ascent,All Gamers,Team Heretics,13,8
Esports World Cup 2026,Group Stage,Opening (D),Lotus,All Gamers,Team Heretics,7,13
Esports World Cup 2026,Group Stage,Winner's (D),Lotus,MIBR,Team Heretics,14,16
Esports World Cup 2026,Group Stage,Winner's (D),Ascent,MIBR,Team Heretics,2,13
Esports World Cup 2026,Group Stage,Elimination (D),Sunset,Global Esports,All Gamers,12,14
Esports World Cup 2026,Group Stage,Elimination (D),Split,Global Esports,All Gamers,10,13
Esports World Cup 2026,Group Stage,Decider (D),Lotus,MIBR,All Gamers,13,15
Esports World Cup 2026,Group Stage,Decider (D),Split,MIBR,All Gamers,13,6
Esports World Cup 2026,Group Stage,Decider (D),Ascent,MIBR,All Gamers,13,4
Esports World Cup 2026,Playoffs,Quarterfinals,Fracture,100 Thieves,MIBR,13,2
Esports World Cup 2026,Playoffs,Quarterfinals,Breeze,100 Thieves,MIBR,10,13
Esports World Cup 2026,Playoffs,Quarterfinals,Haven,100 Thieves,MIBR,13,5
Esports World Cup 2026,Playoffs,Quarterfinals,Ascent,Team Vitality,Nongshim RedForce,13,10
Esports World Cup 2026,Playoffs,Quarterfinals,Split,Team Vitality,Nongshim RedForce,7,13
Esports World Cup 2026,Playoffs,Quarterfinals,Breeze,Team Vitality,Nongshim RedForce,2,13
Esports World Cup 2026,Playoffs,Quarterfinals,Breeze,Team Heretics,BBL Esports,16,14
Esports World Cup 2026,Playoffs,Quarterfinals,Lotus,Team Heretics,BBL Esports,2,13
Esports World Cup 2026,Playoffs,Quarterfinals,Sunset,Team Heretics,BBL Esports,10,13
Esports World Cup 2026,Playoffs,Quarterfinals,Haven,Gentle Mates,NRG,13,10
Esports World Cup 2026,Playoffs,Quarterfinals,Ascent,Gentle Mates,NRG,9,13
Esports World Cup 2026,Playoffs,Quarterfinals,Lotus,Gentle Mates,NRG,10,13
Esports World Cup 2026,Playoffs,Semifinals,Sunset,100 Thieves,Nongshim RedForce,13,6
Esports World Cup 2026,Playoffs,Semifinals,Lotus,100 Thieves,Nongshim RedForce,7,13
Esports World Cup 2026,Playoffs,Semifinals,Haven,100 Thieves,Nongshim RedForce,13,11
