Tournament,Stage,Match Type,Map,Team A,Team B,Team A Score,Team B Score
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Lotus,DetonatioN FocusMe,QT DIG∞,12,14
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Breeze,DetonatioN FocusMe,QT DIG∞,13,7
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Ascent,DetonatioN FocusMe,QT DIG∞,13,9
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Haven,ZETA DIVISION,Xipto Esports,13,11
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Split,ZETA DIVISION,Xipto Esports,9,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 1,Sunset,ZETA DIVISION,Xipto Esports,13,9
VCT 2026: EMEA Stage 2,Playoffs,Upper Round 1,Haven,Team Liquid,FUT Esports,11,13
VCT 2026: EMEA Stage 2,Playoffs,Upper Round 1,Summit,Team Liquid,FUT Esports,11,13
VCT 2026: EMEA Stage 2,Playoffs,Upper Round 1,Summit,Team Vitality,Enterprise Esports,13,6
VCT 2026: EMEA Stage 2,Playoffs,Upper Round 1,Abyss,Team Vitality,Enterprise Esports,11,13
VCT 2026: EMEA Stage 2,Playoffs,Upper Round 1,Lotus,Team Vitality,Enterprise Esports,4,13
VCT 2026: EMEA Stage 2,Playoffs,Upper Semifinals,Summit,BBL Esports,FUT Esports,13,8
VCT 2026: EMEA Stage 2,Playoffs,Upper Semifinals,Haven,BBL Esports,FUT Esports,6,13
VCT 2026: EMEA Stage 2,Playoffs,Upper Semifinals,Ascent,BBL Esports,FUT Esports,5,13
VCT 2026: EMEA Stage 2,Playoffs,Upper Semifinals,Haven,Karmine Corp,Enterprise Esports,13,10
VCT 2026: EMEA Stage 2,Playoffs,Upper Semifinals,Abyss,Karmine Corp,Enterprise Esports,9,13
VCT 2026: EMEA Stage 2,Playoffs,Upper Semifinals,Lotus,Karmine Corp,Enterprise Esports,13,6
VCT 2026: China Stage 2,Playoffs,Lower Final,Sunset,Bilibili Gaming,TYLOO,12,14
VCT 2026: China Stage 2,Playoffs,Lower Final,Summit,Bilibili Gaming,TYLOO,6,13
VCT 2026: China Stage 2,Playoffs,Lower Final,Split,Bilibili Gaming,TYLOO,15,17
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Semifinals,Sunset,MIBR,ENVY,5,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Semifinals,Ascent,MIBR,ENVY,13,9
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Semifinals,Split,MIBR,ENVY,13,5
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Semifinals,Sunset,FURIA,Evil Geniuses,7,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Semifinals,Breeze,FURIA,Evil Geniuses,13,7
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Upper Semifinals,Haven,FURIA,Evil Geniuses,13,8
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 2,Breeze,BESTIA,G2 Esports,8,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 2,Ascent,BESTIA,G2 Esports,5,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 2,Ascent,Sentinels,KRÜ Esports,7,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 2,Haven,Sentinels,KRÜ Esports,8,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 2,Sunset,ONSIDE GAMING,FULL SENSE,13,6
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 2,Haven,ONSIDE GAMING,FULL SENSE,13,10
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 2,Ascent,DetonatioN FocusMe,ZETA DIVISION,13,4
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 2,Split,DetonatioN FocusMe,ZETA DIVISION,13,3
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 1,Lotus,Team Liquid,Eintracht Frankfurt,6,13
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 1,Split,Team Liquid,Eintracht Frankfurt,13,1
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 1,Ascent,Team Liquid,Eintracht Frankfurt,13,1
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 1,Abyss,Team Vitality,Fire Flux Esports,13,11
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 1,Ascent,Team Vitality,Fire Flux Esports,11,13
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 1,Split,Team Vitality,Fire Flux Esports,7,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 3,Lotus,ENVY,G2 Esports,6,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 3,Ascent,ENVY,G2 Esports,14,12
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 3,Haven,ENVY,G2 Esports,8,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 3,Lotus,Evil Geniuses,KRÜ Esports,9,13
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 3,Sunset,Evil Geniuses,KRÜ Esports,13,9
VCT 2026: Americas Stage 2,Main Event,Play-Ins: Lower Round 3,Summit,Evil Geniuses,KRÜ Esports,13,3
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 3,Ascent,Sharper Esports,ONSIDE GAMING,13,2
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 3,Haven,Sharper Esports,ONSIDE GAMING,5,13
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 3,Breeze,Sharper Esports,ONSIDE GAMING,12,14
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 3,Ascent,T1,DetonatioN FocusMe,13,7
VCT 2026: Pacific Stage 2,Main Event,Play-Ins: Lower Round 3,Haven,T1,DetonatioN FocusMe,13,8
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 2,Lotus,Enterprise Esports,Team Liquid,4,13
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 2,Abyss,Enterprise Esports,Team Liquid,12,14
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 2,Abyss,BBL Esports,Fire Flux Esports,11,13
VCT 2026: EMEA Stage 2,Playoffs,Lower Round 2,Summit,BBL Esports,Fire Flux Esports,11,13
VCT 2026: Pacific Stage 2,Playoffs,Upper Round 1,Abyss,Paper Rex,Nongshim RedForce,7,13
VCT 2026: Pacific Stage 2,Playoffs,Upper Round 1,Split,Paper Rex,Nongshim RedForce,10,13
VCT 2026: Pacific Stage 2,Playoffs,Upper Round 1,Lotus,Global Esports,Kiwoom DRX,13,11
VCT 2026: Pacific Stage 2,Playoffs,Upper Round 1,Ascent,Global Esports,Kiwoom DRX,8,13
VCT 2026: Pacific Stage 2,Playoffs,Upper Round 1,Abyss,Global Esports,Kiwoom DRX,13,9
VCT 2026: Americas Stage 2,Playoffs,Upper Round 1,Haven,LOUD,FURIA,13,4
VCT 2026: Americas Stage 2,Playoffs,Upper Round 1,Summit,LOUD,FURIA,13,9
VCT 2026: Pacific Stage 2,Playoffs,Upper Semifinals,Split,VARREL,Global Esports,10,13
VCT 2026: Pacific Stage 2,Playoffs,Upper Semifinals,Summit,VARREL,Global Esports,5,13
VCT 2026: Pacific Stage 2,Playoffs,Lower Round 1,Abyss,Paper Rex,ONSIDE GAMING,13,11
VCT 2026: Pacific Stage 2,Playoffs,Lower Round 1,Ascent,Paper Rex,ONSIDE GAMING,13,5
